id,phase,agenda,sub,start,end,when,place,needs,pj,relevance
sep-sistem-delog,september,Konsep Sistem Kerja Delog,,2026-09-01,2026-09-30,,,Sistem peminjaman alat dan barang inventaris,Delog,
sep-list-sekolah,september,List Sekolah Komet,Penyebaran Online & Offline,2026-09-01,2026-09-30,,,Database/list tujuan undangan (sekolah & universitas),Humas,terkait
sep-list-universitas,september,List Universitas (S1) Himchamp,Penyebaran Online & Offline,2026-09-01,2026-09-30,,,Database/list tujuan undangan (sekolah & universitas),Humas,terkait
sep-undangan-online,september,Penyebaran Undangan Online,Komet & Himchamp,2026-09-01,2026-09-30,,,Surat Undangan & Guide Book,Humas,terkait
sep-list-medpar,september,List Media Partner,,2026-09-01,2026-09-30,,,Database/list target media partner,Humas,
sep-fiksasi-medpar,september,Fiksasi Media Partner,,,,Setiap H-2 minggu sebelum kegiatan,,,Humas,
sep-fiksasi-juri,september,"Fiksasi Daftar Juri, Pemateri, Caster","Komet, PPMTK, Dordar & Himchamp",2026-09-01,2026-09-30,,,"List pemateri, juri & caster beserta harga",SC Kegiatan,terkait
sep-rd-fix,september,RD Kegiatan Fix,Semua Kegiatan,2026-09-01,2026-09-30,,,,Acara,terkait
sep-dekorasi-mulai,september,Dekorasi,Mulai Delog,2026-09-15,2026-09-30,,,"Alat & bahan dekorasi, form/buku peminjaman alat dan barang inventaris",Delog,
sep-fiksasi-inventaris,september,Fiksasi Sistem Inventaris,,2026-09-15,2026-09-30,,,,Delog,
okt-guidebook-rakor,oktober,Guidebook Kegiatan,Rakor dengan SC Kegiatan,2026-10-01,2026-10-07,,,Guidebook Kegiatan,"Kompetisi, SC Kegiatan, Ex-Officio",utama
okt-guidebook-revisi,oktober,Guidebook Kegiatan,Revisi,2026-10-07,2026-10-14,,,Guidebook Kegiatan,"Kompetisi, SC Kegiatan, Ex-Officio",utama
okt-rd-rakor,oktober,RD Kegiatan,Rakor dengan SC Kegiatan,2026-10-01,2026-10-07,,,Dokumen RD seluruh kegiatan,"Acara, SC Kegiatan, Ex-Officio",terkait
okt-rd-revisi,oktober,RD Kegiatan,Revisi,2026-10-07,2026-10-14,,,Dokumen RD seluruh kegiatan,"Acara, SC Kegiatan, Ex-Officio",terkait
okt-soal-komet,oktober,Soal Lomba Komet,Komet,2026-10-12,2026-10-27,,,Draft soal Komet yang sudah rampung,SC Komet,terkait
okt-proposal-gubernur,oktober,Pengajuan Proposal Piala Gubernur,Himchamp & Komet,2026-10-12,2026-10-16,,,Proposal Kegiatan,"Humas, SC Kegiatan, SC Umum, Ketuplak",terkait
okt-undangan-offline,oktober,Undangan Offline,Komet,2026-10-12,2026-10-23,,,Amplop dan surat undangan,Humas,terkait
okt-sosialisasi-internal,oktober,Sosialisasi Internal,"PPMTK, Bazar, dan Penampilan Angkatan",2026-10-17,2026-10-17,,Lab/Kelas,,Ketuplak,
okt-pendaftaran-internal,oktober,Pendaftaran Internal,PPMTK dan Bazar,2026-10-18,2026-10-23,,,"Gform, dst",Sekretaris,
okt-tm-internal,oktober,Technical Meeting,Internal,2026-10-24,2026-10-24,,Lab/Kelas,,"Panitia Kegiatan, Kompetisi",utama
okt-tm-komet,oktober,Technical Meeting,Komet,2026-10-31,2026-10-31,,Lab/Kelas,,"Panitia Kegiatan, Kompetisi",utama
nov-tm-himchamp,november-desember,Technical Meeting,Himchamp,2026-11-01,2026-11-01,,Masjid lt.3,,Panitia Kegiatan,utama
nov-opening,november-desember,Opening,"PPMTK, MathTalk",2026-11-04,2026-11-04,,Anwar,,"Panitia Kegiatan, Kompetisi",utama
nov-penyisihan-komet,november-desember,Penyisihan,Komet (Online),2026-11-14,2026-11-14,,Lab/Kelas,,"Panitia Kegiatan, Kompetisi",utama
nov-ppmtk-tes-tulis,november-desember,Penyisihan,Pembekalan dan Tes Tulis PPMTK (Offline),2026-11-14,2026-11-14,,R.305,,"Panitia Kegiatan, Kompetisi",utama
nov-penyisihan-himchamp,november-desember,Penyisihan,Himchamp,2026-11-15,2026-11-15,,Masjid lt.3,,"Panitia Kegiatan, Kompetisi",utama
nov-take-konten,november-desember,Take Konten,PPMTK,2026-11-18,2026-11-18,,Tugu Kujang,,"Panitia Kegiatan, Medkraf, Kompetisi",utama
nov-komet,november-desember,Pelaksanaan Komet,Komet,2026-11-21,2026-11-21,,Abjan,,"Panitia Kegiatan, Kompetisi",utama
nov-dordar,november-desember,Pelaksanaan Dordar,Dordar,2026-11-25,2026-11-25,,Aula FST,,,
nov-himchamp,november-desember,Pelaksanaan Himchamp,Himchamp,2026-11-28,2026-11-28,,R.305,,"Panitia Kegiatan, Kompetisi",utama
nov-ppmtk,november-desember,Pelaksanaan PPMTK,Unjuk Bakat & Tes Lisan,2026-11-28,2026-11-28,,Aula FST,,"Panitia Kegiatan, Kompetisi",utama
des-closing,november-desember,Closing,"PPMTK, Bazar, dan Penampilan Angkatan",2026-12-02,2026-12-02,,Anwar,,"Panitia Kegiatan, Kompetisi",utama
